address,namespace,category,blockchain
0x840cffa2a3a6f56eb2f205a06748a8284b683355,unknown15,others,ethereum
0xeda61b1e9f414889dde0dbe83b3bacf814a98e87,proxy_multisig,multisig,ethereum
0x130b261da8c75ed5103625577abdef1d0421a161,instadapp,defi_aggr,ethereum
0xaa2781c77246875b9bf40315bbef62da49f83250,TBD,TBD,TBD
0x2f606b9562e313f93891956b08be8aca3a750d9d,TBD,TBD,TBD
0xb8ec7c6483444572a486e22dd8f875bb26e14472,instadapp,defi_aggr,ethereum
0x008f9cf207a5b0f69c759f5eb0548db102a8cdac,TBD,TBD,TBD
0xb77f7c90437a6d9871a4ce4f48698a9e2dcd56be,TBD,TBD,TBD
0xcf05eadfdb008c106a56680aa3cf656801972401,unknown9,others,ethereum
0xcb84be8e49db5e35d1da62a1070847b914f4cd68,gnosis_safe,multisig,ethereum
0x2a8b9ebc6b62e09f3b2b896bb004533bb4bfcb40,unknown10,others,ethereum
0xcdb238d68d8da74487711bc1f8f13f3d00667d1a,TBD,TBD,TBD
0x3fd49a8f37e2349a29ea701b56f10f03b08f1532,TBD,TBD,TBD
0x28ec41b848c4a62a37a3054a69d2f76cc8e9677b,instadapp,defi_aggr,ethereum
0x45533541aac25030b5d438e37cec18e73b545310,unknown11,others,ethereum
0x60ee8465dc43245c6c2989b1089e476d3a0a717d,instadapp,defi_aggr,ethereum
0x69580cd3327f22150e79cff8f70059ac56500198,unknown18,others,ethereum
0x9cb7e19861665366011899d74e75d4f2a419aeed,TBD,TBD,TBD
0x67701c4f8ceafb5af4cf95cd9b91281a47aaeccf,TBD,TBD,TBD
0x7902d79ada34e3cb32a3faa5496334a004589925,gnosis_safe,multisig,ethereum
0x19253228af13d221b8dd58fc24d63df63201401a,instadapp,defi_aggr,ethereum
0x19253228af13d221b8dd58fc24d63df63201401a,instadapp,defi_aggr,ethereum
0x9600a48ed0f931d0c422d574e3275a90d8b22745,instadapp,defi_aggr,ethereum
0x33333aea097c193e66081e930c33020272b33333,unknown12,others,ethereum
0x34aacf00a25d7a871d77dbe0eae6ad448b58a91c,instadapp,defi_aggr,ethereum
0xb33af361843357e05b6df3e45ae3b5cec8e01137,TBD,TBD,TBD
0x4c422508fac7e16655d40fda0d158fe997df43f6,others,others,ethereum
0x2751c7e2ccfe054228027662bd64f33434c7ba53,instadapp,defi_aggr,ethereum
0x398b545fb12916c1d04a62ce5689be69fa38f228,instadapp,defi_aggr,ethereum
0xcd60478d36b6b60dda524c4c67a68e8896882b38,instadapp,defi_aggr,ethereum
0x1e899d5e09e4dcbc037718046214b4745cec99a8,argent,proxy,ethereum
0xd2dc4192737340b4f773ca60771b2b70c032c674,gnosis_safe,multisig,ethereum
0x6011436690a085d35d8d90ae417cbaf3767c0fca,gnosis_safe,multisig,ethereum
0x685b819e649269fb362019d22a06517e2757c8f5,gnosis_safe,multisig,ethereum
0x4e079dca26a4fe2586928c1319b20b1bf9f9be72,ribbon_v2,gauge,ethereum
0xce5513474e077f5336cf1b33c1347fdd8d48ae8c,ribbon_earn,yield,ethereum
0xfea5e213bbd81a8a94d0e1edb09dbd7ceab61e1c,stakeDAO,yield,ethereum
0xcc61ee649a95f2e2f0830838681f839bdb7cb823,stakedao,yield,ethereum
0xa57b8d98dae62b26ec3bcc4a365338157060b234,aura,yield,ethereum
0xa57b8d98dae62b26ec3bcc4a365338157060b234,aura,yield,ethereum
0xa57b8d98dae62b26ec3bcc4a365338157060b234,aura,yield,ethereum
